atom1	atom2	r	rms
C1  	C2  	1.51	0.052
C1  	C3  	1.52	0.062
C1  	S34 	1.84	0.081
C1  	S35 	1.85	0.066
C4  	C5  	1.38	0.055
C4  	C6  	2.42	0.084
C4  	C8  	2.43	0.078
C4  	C9  	1.38	0.055
C4  	S34 	1.77	0.062
C5  	C6  	1.39	0.063
C5  	C7  	2.38	0.083
C5  	C9  	2.39	0.068
C6  	C7  	1.40	0.065
C6  	C8  	2.47	0.083
C6  	C10 	1.54	0.058
C6  	O32 	2.41	0.042
C7  	C8  	1.41	0.055
C7  	C9  	2.38	0.089
C7  	O32 	1.38	0.055
C8  	C9  	1.40	0.055
C8  	C14 	1.53	0.073
C8  	O32 	2.37	0.079
C10 	C11 	1.53	0.053
C10 	C12 	1.52	0.042
C10 	C13 	1.54	0.059
C11 	C12 	2.44	0.060
C11 	C13 	2.44	0.071
C14 	C15 	1.54	0.043
C14 	C16 	1.55	0.063
C14 	C17 	1.53	0.058
C15 	C16 	2.48	0.063
C15 	C17 	2.47	0.076
C18 	C19 	1.39	0.055
C18 	C20 	2.43	0.071
C18 	C22 	2.42	0.085
C18 	C23 	1.38	0.055
C18 	S35 	1.78	0.056
C19 	C20 	1.39	0.055
C19 	C21 	2.38	0.086
C19 	C23 	2.40	0.061
C20 	C21 	1.41	0.055
C20 	C22 	2.48	0.050
C20 	C24 	1.54	0.049
C20 	O33 	2.37	0.082
C21 	C22 	1.40	0.062
C21 	C23 	2.38	0.099
C21 	O33 	1.37	0.066
C22 	C23 	1.39	0.055
C22 	C28 	1.54	0.058
C22 	O33 	2.41	0.094
C24 	C25 	1.53	0.058
C24 	C26 	1.52	0.058
C24 	C27 	1.55	0.062
C25 	C26 	2.46	0.117
C25 	C27 	2.47	0.080
C28 	C29 	1.54	0.064
C28 	C30 	1.53	0.058
C28 	C31 	1.53	0.058
C29 	C30 	2.45	0.094
C29 	C31 	2.48	0.103
