atom1	atom2	r	rms
C1  	C2  	1.52	0.056
C1  	C3  	1.51	0.065
C1  	C4  	2.85	0.086
C1  	C5  	3.59	0.109
C1  	C6  	4.80	0.161
C1  	C8  	4.88	0.040
C1  	C9  	3.69	0.055
C1  	C18 	2.85	0.075
C1  	C19 	3.59	0.083
C1  	C20 	4.82	0.067
C1  	C22 	4.90	0.041
C1  	C23 	3.68	0.071
C1  	S34 	1.85	0.080
C1  	S35 	1.84	0.072
C2  	C3  	2.52	0.060
C2  	C4  	3.27	0.093
C2  	C5  	3.42	0.135
C2  	C6  	4.51	0.046
C2  	C9  	4.31	0.122
C2  	C11 	4.92	0.060
C2  	C18 	3.25	0.128
C2  	C19 	3.42	0.090
C2  	C20 	4.53	0.099
C2  	C23 	4.30	0.140
C2  	C25 	4.93	0.084
C2  	S34 	2.80	0.069
C2  	S35 	2.79	0.120
C3  	C4  	3.30	0.072
C3  	C5  	4.24	0.093
C3  	C8  	4.67	0.090
C3  	C9  	3.59	0.098
C3  	C18 	3.30	0.088
C3  	C19 	4.25	0.102
C3  	C22 	4.71	0.085
C3  	C23 	3.59	0.107
C3  	S34 	2.79	0.072
C3  	S35 	2.79	0.076
C4  	C5  	1.38	0.054
C4  	C6  	2.42	0.054
C4  	C7  	2.75	0.111
C4  	C8  	2.42	0.063
C4  	C9  	1.39	0.062
C4  	C10 	3.83	0.073
C4  	C11 	4.18	0.121
C4  	C12 	4.70	0.101
C4  	C13 	4.80	0.096
C4  	C14 	3.83	0.066
C4  	C15 	4.20	0.084
C4  	C16 	4.76	0.082
C4  	C17 	4.74	0.104
C4  	O32 	4.12	0.076
C4  	S34 	1.77	0.058
C4  	S35 	4.34	0.136
C5  	C6  	1.39	0.067
C5  	C7  	2.37	0.085
C5  	C8  	2.79	0.070
C5  	C9  	2.39	0.095
C5  	C10 	2.55	0.057
C5  	C11 	2.81	0.083
C5  	C12 	3.55	0.117
C5  	C13 	3.63	0.070
C5  	C14 	4.33	0.186
C5  	O32 	3.61	0.084
C5  	S34 	2.74	0.086
C6  	C7  	1.40	0.071
C6  	C8  	2.47	0.085
C6  	C9  	2.79	0.062
C6  	C10 	1.54	0.061
C6  	C11 	2.51	0.044
C6  	C12 	2.51	0.061
C6  	C13 	2.54	0.057
C6  	C14 	3.88	0.046
C6  	C16 	4.48	0.107
C6  	C17 	4.41	0.078
C6  	O32 	2.36	0.080
C6  	S34 	4.05	0.065
C7  	C8  	1.41	0.076
C7  	C9  	2.37	0.103
C7  	C10 	2.57	0.069
C7  	C11 	3.83	0.070
C7  	C12 	3.15	0.097
C7  	C13 	3.12	0.083
C7  	C14 	2.58	0.043
C7  	C15 	3.87	0.067
C7  	C16 	3.16	0.130
C7  	C17 	3.12	0.096
C7  	O32 	1.37	0.068
C7  	S34 	4.52	0.119
C8  	C9  	1.38	0.068
C8  	C10 	3.88	0.051
C8  	C11 	4.98	0.100
C8  	C12 	4.45	0.085
C8  	C13 	4.44	0.102
C8  	C14 	1.54	0.076
C8  	C15 	2.54	0.079
C8  	C16 	2.53	0.051
C8  	C17 	2.52	0.072
C8  	O32 	2.40	0.082
C8  	S34 	4.04	0.066
C9  	C10 	4.33	0.127
C9  	C14 	2.54	0.057
C9  	C15 	2.81	0.070
C9  	C16 	3.58	0.084
C9  	C17 	3.58	0.119
C9  	O32 	3.63	0.049
C9  	S34 	2.75	0.080
C10 	C11 	1.51	0.076
C10 	C12 	1.53	0.061
C10 	C13 	1.52	0.060
C10 	O32 	2.84	0.106
C11 	C12 	2.42	0.041
C11 	C13 	2.45	0.065
C11 	O32 	4.33	0.088
C12 	C13 	2.51	0.089
C12 	O32 	3.04	0.063
C13 	O32 	2.94	0.063
C14 	C15 	1.54	0.066
C14 	C16 	1.52	0.053
C14 	C17 	1.53	0.060
C14 	O32 	2.91	0.100
C15 	C16 	2.44	0.053
C15 	C17 	2.48	0.060
C15 	O32 	4.42	0.103
C16 	C17 	2.52	0.071
C16 	O32 	3.07	0.040
C17 	O32 	3.05	0.076
C18 	C19 	1.37	0.076
C18 	C20 	2.42	0.061
